「４頭立ての馬車」という意味がある、北海道で展開されている書店・カフェなどの大型複合施設は？,コーチャンフォー
「Davinci」ブランドの手帳で知られる、福岡に本社を置く文具メーカーは？,レイメイ藤井
「DOVER」「YORK」「ETON」などのジャケットで有名な19世紀末に創業されたイタリアの男性ファッションブランドは？,ＢＯＧＬＩＯＬＩ
「I'm NOT A Plastic Bag」と記されたエコバッグが世界各国で人気を集めるイギリスのブランドは「アニヤ・○○○○○○○」？,ハインドマーチ
「Microsoft Windows 8」などに導入された、マイクロソフト開発のユーザーインターフェイスは「○○○○○○ ＵＩ」？,Ｍｏｄｅｒｎ
「ＰＨ」と略される有名ラーメン店の麺によく用いられているオーストラリア産小麦の品種は？,プライムハード
「ア・テスト」と略される学力試験を意味する言葉は「○○○○○○○・テスト」？,アチーブメント
「アントウェルペンの６人」と呼ばれる中の一人が立ち上げたベルギーのファッションブランドはアン・◯◯◯◯◯◯◯◯◯？,ドゥムルメステール
「イノシシもどき」という意味の白味噌を使った沖縄の豚汁は？,いなむどぅち
「エカテリーナ」という宝石のブランドも手がける、有名なエステティックサロンに名を冠する美容家は？,たかの友梨
「お腹の中に赤ちゃんがいる」のシャレで、「妊娠」を意味する昭和の俗語といえば？,インハラベビー
「ガラスの器に浮かぶ」という意味がある、ライチなどの果物を塩水につけ、砕いた氷と一緒に盛り付けたタイのデザートは？,ローイゲーオ
「キス釣りは、砂浜をよく歩くのが大事である」という意味の釣り人の格言といえば？,キスは足で釣れ
「ココロ・気持ちが落ち着く」というイメージからある飲みものが名前になったダイハツの軽自動車は？,ミラココア
「こんにちは、皆さんいかがお過ごしですか？」という意味で一般的にあいさつに使われる沖縄地方の方言は？,ちゅーがなびら
「ザ・マジシャン」「ビリヤードの神様」といった愛称を持つ1999年には世界王者にもなったフィリピン出身のプロ選手は？,エフレン・レイズ
「しおり」という意味があるインターネットのブラウザで頻繁にアクセスするページのＵＲＬを登録する機能は？,ブックマーク
「しまひかり」と「キタアケ」を交配してできた、北海道の米の優良品種といえば？,きらら３９７
「ステンレス・スチール・ラット」シリーズなどの作品で知られるアメリカのＳＦ作家は？,ハリイ・ハリスン
「タイ式すき焼」「シンガポール風しゃぶしゃぶ」などと訳される東南アジアの独特の鍋料理は？,スチームボード
「チョウセンアザミ」という別名があるキク科の野菜は？,アーティチョーク
「とんび」とも呼ばれるスコットランドの地名がついた男性用の外套は？,インバネス
「パーソナルコンピュータ」の概念を提唱したことで有名な今日では「パソコンの父」とも呼ばれるアメリカの科学者は？,アラン・ケイ
「ひだを何枚も重ねた」という意味の、イタリア・ナポリ地方名物の焼き菓子の名は？,スフォリアテッレ
「ひっくり返るもの」という意味があるコップの一種は？,タンブラー
「ヒップフラスコ」ともいうよく西部劇で見られるウィスキーなどの酒を入れる携帯用の容器を何という？,スキットル
「ブラックヘッド」のマークやヘアカラー「パオン」で知られるメーカーは○○○○○○○ヘンケル？,シュワルツコフ
「フランスのディクスン・カー」との異名をとる、『第四の扉』『赤い霧』などの作品で日本でも人気の推理作家は？,ポール・アルテ
フリーランダー、ディフェンダーなど４ＷＤを専門に手がけているイギリスの自動車メーカーは？,ランドローバー
「ホームメイド」という意味がある、断面がＳ字になっているのが特徴のイタリア・シチリアの伝統的なパスタは？,カーゼレッチェ
「マルス」など、鉛筆のブランドで名高いドイツ・ニュルンベルクの世界的文具メーカーといえば？,ステッドラー
「ようつべ」という愛称でも親しまれている、アメリカの大手動画ポータルサイトは？,ＹｏｕＴｕｂｅ
「ライオンの醸造所」という意味の名を持つドイツのビールメーカーは？,レーベンブロイ
「ラップドレス」で一世を風靡した、「ＤＶＦ」のロゴで知られるブランドはダイアン・フォン・○○○○○○○○？,ファステンバーグ
「ローバー・ミニ」などイギリスの小型車「ミニ」の生みの親であるＢＭＣの技術者はアレック・○○○○○？,イシゴニス
「愛情の込もった手」という意味がある、インドの医学「アーユルヴェーダ」におけるオイルを用いたマッサージ法は？,アヴィヤンガ
「一頭立ての馬車」を意味するオーストリアのホイップクリーム入りのコーヒーで、日本で言うウィンナーコーヒーに近いのは？,アインシュペナー
「一般にはあまり売れない商品がインターネット上の店舗では欠かせない収益源になる」という考え方を何という？,ロングテール
「運に左右されないゲーム」と司法判断が下された、ダーツ史上有名な1908年の事件といえば「○○○○○○○○の判決」？,フット・アナキン
「王様の畝」を意味するフランス語を語源とする、縦うねのけばが特徴的な、ベルベット織物は？,コーデュロイ
「温かい風呂」という意味があるオリーブ油とアンチョビソースに野菜をつけて食べる、北イタリアピエモンテ地方の伝統料理は？,バーニャ・カウダ
「火を通した生クリーム」という意味の名を持つイタリアのお菓子は？,パンナ・コッタ
「花のピカソ」の異名を取る生け花の流派・草月流の初代家元といえば？,勅使河原蒼風
「花の中の花」という意味がある香水の原料となる花は？,イランイラン
「懐かしのチューインガム総選挙」の結果、2011年にロッテから復刻販売された懐かしのシトラス系ガムは？,クイッククエンチ
「皆様に申し上げます」という意味の英語での呼びかけは「○○○○○○○○○，ＰＬＥＡＳＥ」？,ＡＴＴＥＮＴＩＯＮ
「感情や意志の表明」という意味がある、日本語の「デモ」に当たるフランス語は何？,マニフェスタシオン
「狂騒の時代」という意味がある、フランスの1920年代をさす言葉といえば？,レ・ザネ・フォル
「胸を隠すもの」という意味の着物のように前を重ね合わせて着るブラウスは？,カシュクール
「芸能人も多数出没している」と評判の、サイバーエージェントがインターネット上で運営している仮想空間は？,アメーバピグ
「健康で美しい肉体」という意味がある、韓国のカリスマ主婦チョン・ダヨンが考案した痩身法は「○○○○○ダイエット」？,モムチャン
「御馳走を頂きました」という意味があり、食事の終わりの挨拶として使われる沖縄の方言は？,くわっちーさびたん
「好き」「嫌い」など７つの言葉の頭文字からそう呼ばれるかつて子供たちの間で流行した恋占いの一種は？,アキストゼネコ
「幸せを運ぶ」といわれたドルフィンリングや花ピアスなど多くの人気商品で有名な、横浜・元町で創業されたショップは？,スタージュエリー
「紅縞瑪瑙（あかしまめのう）」という別名のある８月の誕生石のひとつとされる宝石は？,サードニックス
「香りがよい」という意味の名を持つ、イタリア・モデナ地方特産の酢は？,バスサミコ酢
「香水ガヤ」という別名を持つイネ科のハーブで、タイの代表的料理・トムヤムクンの香り付けに欠かせないものは？,レモングラス
「思い切り毎日を楽しもう」を意味する英文の頭文字から命名された、イオングループが2010年より展開する大型生活雑貨店は？,Ｒ．Ｏ．Ｕ
「紙巻き色鉛筆」とも呼ばれる、フィルムなどへの書き込みに使う筆記具は？,ダーマトグラフ
「煮る」「混ぜる」「エビ」を意味する言葉をつなげた、タイ料理を代表する、辛味と酸味と複雑な香りが特徴のスープは？,トム・ヤム・クン
「弱い駒でも大事にするべき」ということを言った将棋の格言「○○○○○○は負け将棋」？,歩のない将棋
「書巻の気」と訳されることがある、本好きの浮世離れした様子をさす英語は？,ブッキッシュ
「少しですが」という意味の謙譲表現として使われる熊本弁の言葉といえば？,いっちょばって
「信頼性の高いNo.1用語解説サイト」を旗印に、朝日新聞社・講談社など５社が共同で設立した辞書・用語検索サイトは？,ｋｏｔｏｂａｎｋ
「心によみがえる」という意味のラテン語に由来する記念品やみやげ物を指す言葉といえば？,スーベニア
「真っ黒チーズケーキ」がメディアの注目を浴びた香川県高松市にあるフランス菓子工房は？,ラ・ファミーユ
「人狼」といった意味を持つ近未来を舞台とした京極夏彦のＳＦ小説は？,ルー＝ガルー
「世界一ミネラルが多い塩」としてギネス世界記録に認定されたこともある、沖縄県のブランド海水塩は？,ぬちマース
「世界最長の小説シリーズ」としてギネス世界記録に認定されている、ドイツのＳＦ小説は『宇宙英雄◯◯◯◯◯◯◯◯』？,ペリー・ローダン
「政策提言」や「権利擁護」の意味合いで使われることも多い団体や個人が主義・主張を広く社会に伝えることを表す言葉は？,アドヴォカシー
「生キャラメル」で有名な花畑牧場が東京・南青山などに出店している、豚丼、しゃぶしゃぶなどをメインとした飲食店は？,ホエー豚亭
「精一杯跳べ」という意味があるとされる、毎年６月に鹿児島県の日置八幡神社などで催されるお田植え祭りは？,せっぺとべ
「赤い」「丸い」「大きい」「うまい」の頭文字から命名されたイチゴは？,あまおう
「洗剤を使わない」「直火の焚き火をしない」など、アウトドアにおいてなるべく自然に影響を与えないようにする行為を何という？,ロー・インパクト
「草履」をヒントに作られたという、海外のセレブに人気のブラジル製ビーチサンダルブランドといえば？,ハワイアナス
